ticker,name,country,region,sector,index_source
# === S&P 500 TOP 100 BY MARKET CAP (US) — 50%
NVDA,NVIDIA Corp,US,US,TECH,SP500
MSFT,Microsoft Corp,US,US,TECH,SP500
AAPL,Apple Inc,US,US,TECH,SP500
GOOGL,Alphabet Inc Class A,US,US,COMM,SP500
AMZN,Amazon.com Inc,US,US,CONS_C,SP500
META,Meta Platforms Inc,US,US,COMM,SP500
TSLA,Tesla Inc,US,US,CONS_C,SP500
BRK-B,Berkshire Hathaway Inc,US,US,FIN,SP500
AVGO,Broadcom Inc,US,US,TECH,SP500
LLY,Eli Lilly and Company,US,US,HEALTH,SP500
JPM,JPMorgan Chase & Co,US,US,FIN,SP500
V,Visa Inc,US,US,FIN,SP500
WMT,Walmart Inc,US,US,CONS_S,SP500
XOM,Exxon Mobil Corp,US,US,ENERGY,SP500
MA,Mastercard Inc,US,US,FIN,SP500
ORCL,Oracle Corp,US,US,TECH,SP500
UNH,UnitedHealth Group Inc,US,US,HEALTH,SP500
JNJ,Johnson & Johnson,US,US,HEALTH,SP500
PG,Procter & Gamble Co,US,US,CONS_S,SP500
HD,Home Depot Inc,US,US,CONS_C,SP500
COST,Costco Wholesale Corp,US,US,CONS_S,SP500
NFLX,Netflix Inc,US,US,COMM,SP500
BAC,Bank of America Corp,US,US,FIN,SP500
ABBV,AbbVie Inc,US,US,HEALTH,SP500
CVX,Chevron Corp,US,US,ENERGY,SP500
KO,Coca-Cola Co,US,US,CONS_S,SP500
TMUS,T-Mobile US Inc,US,US,COMM,SP500
WFC,Wells Fargo & Co,US,US,FIN,SP500
CRM,Salesforce Inc,US,US,TECH,SP500
PLTR,Palantir Technologies Inc,US,US,TECH,SP500
ADBE,Adobe Inc,US,US,TECH,SP500
MRK,Merck & Co Inc,US,US,HEALTH,SP500
CSCO,Cisco Systems Inc,US,US,TECH,SP500
ACN,Accenture plc,US,US,TECH,SP500
LIN,Linde plc,US,US,MAT,SP500
NOW,ServiceNow Inc,US,US,TECH,SP500
PEP,PepsiCo Inc,US,US,CONS_S,SP500
TMO,Thermo Fisher Scientific Inc,US,US,HEALTH,SP500
MCD,McDonald's Corp,US,US,CONS_C,SP500
DIS,Walt Disney Co,US,US,COMM,SP500
IBM,International Business Machines Corp,US,US,TECH,SP500
AMD,Advanced Micro Devices Inc,US,US,TECH,SP500
INTU,Intuit Inc,US,US,TECH,SP500
AXP,American Express Co,US,US,FIN,SP500
GS,Goldman Sachs Group Inc,US,US,FIN,SP500
ABT,Abbott Laboratories,US,US,HEALTH,SP500
QCOM,QUALCOMM Inc,US,US,TECH,SP500
GE,GE Aerospace,US,US,IND,SP500
MS,Morgan Stanley,US,US,FIN,SP500
RTX,RTX Corp,US,US,IND,SP500
CAT,Caterpillar Inc,US,US,IND,SP500
PM,Philip Morris International Inc,US,US,CONS_S,SP500
T,AT&T Inc,US,US,COMM,SP500
TXN,Texas Instruments Inc,US,US,TECH,SP500
DHR,Danaher Corp,US,US,HEALTH,SP500
VZ,Verizon Communications Inc,US,US,COMM,SP500
ISRG,Intuitive Surgical Inc,US,US,HEALTH,SP500
PFE,Pfizer Inc,US,US,HEALTH,SP500
SPGI,S&P Global Inc,US,US,FIN,SP500
BKNG,Booking Holdings Inc,US,US,CONS_C,SP500
LOW,Lowe's Companies Inc,US,US,CONS_C,SP500
HON,Honeywell International Inc,US,US,IND,SP500
NEE,NextEra Energy Inc,US,US,UTIL,SP500
PGR,Progressive Corp,US,US,FIN,SP500
UNP,Union Pacific Corp,US,US,IND,SP500
UBER,Uber Technologies Inc,US,US,IND,SP500
AMGN,Amgen Inc,US,US,HEALTH,SP500
BSX,Boston Scientific Corp,US,US,HEALTH,SP500
BLK,BlackRock Inc,US,US,FIN,SP500
SCHW,Charles Schwab Corp,US,US,FIN,SP500
ETN,Eaton Corp plc,US,US,IND,SP500
ANET,Arista Networks Inc,US,US,TECH,SP500
GILD,Gilead Sciences Inc,US,US,HEALTH,SP500
DE,Deere & Co,US,US,IND,SP500
TJX,TJX Companies Inc,US,US,CONS_C,SP500
LMT,Lockheed Martin Corp,US,US,IND,SP500
C,Citigroup Inc,US,US,FIN,SP500
BX,Blackstone Inc,US,US,FIN,SP500
COP,ConocoPhillips,US,US,ENERGY,SP500
ADP,Automatic Data Processing Inc,US,US,TECH,SP500
SYK,Stryker Corp,US,US,HEALTH,SP500
PANW,Palo Alto Networks Inc,US,US,TECH,SP500
VRTX,Vertex Pharmaceuticals Inc,US,US,HEALTH,SP500
MRSH,Marsh & McLennan Companies Inc,US,US,FIN,SP500
PLD,Prologis Inc,US,US,REAL,SP500
MU,Micron Technology Inc,US,US,TECH,SP500
KKR,KKR & Co Inc,US,US,FIN,SP500
CB,Chubb Ltd,US,US,FIN,SP500
LRCX,Lam Research Corp,US,US,TECH,SP500
